,"Sat 4/26","Sun 4/27","Mon 4/28","Tue 4/29","Wed 4/30","Thu 5/1","Fri 5/2"
stats,"1-2 4.74 ERA","1-2 4.00 ERA","2-1 5.04 ERA","0-3 6.45 ERA","2-1 2.08 ERA","1-2 4.74 ERA","1-2 4.00 ERA"
oppBat,".217 1.5 HR 9.5 K",".217 1.5 HR 9.5 K",".235 1.2 HR 7.8 K",".235 1.2 HR 7.8 K",".235 1.2 HR 7.8 K",".235 1.2 HR 7.8 K",".244 1.0 HR 9.5 K"
oppPitch,"Y. Kikuchi L","J. Soriano R","G. Williams R","T. Bibee R","L. Ortiz R","B. Lively R","W. Buehler R"

NYM,"C. Holmes (R)","T. Megill (R)","G. Canning (R)","D. Peterson (L)","K. Senga (R)","C. Holmes (R)","T. Megill (R)"
game,"Sat 4:05pm @ WSH","Sun 1:35pm @ WSH","Mon 4:05pm @ WSH","Tue 7:10pm vs ARI","Wed 7:10pm vs ARI","Thu 1:10pm vs ARI","Fri 8:15pm @ STL"
stats,"2-1 3.16 ERA","3-2 1.09 ERA","3-1 3.12 ERA","1-1 3.29 ERA","3-1 1.26 ERA","2-1 3.16 ERA","3-2 1.09 ERA"
oppBat,".238 1.0 HR 7.3 K",".238 1.0 HR 7.3 K",".238 1.0 HR 7.3 K",".245 1.3 HR 7.4 K",".245 1.3 HR 7.4 K",".245 1.3 HR 7.4 K",".265 0.9 HR 7.9 K"
oppPitch,"B. Lord R","M. Parker L","T. Williams R","E. Rodriguez L","C. Burnes R","Z. Gallen R","S. Gray R"

NYY,POSTPONED,"M. Fried (L)","W. Warren (R)","C. Rodon (L)","C. Carrasco (R)","OFF DAY","M. Fried (L)"
game,"Sat 1:05pm vs TOR","Sun 1:35pm vs TOR","Mon 6:35pm @ BAL","Tue 6:35pm @ BAL","Wed 6:35pm @ BAL",,"Fri 7:05pm vs TB"
stats,,"4-0 1.42 ERA","1-0 4.79 ERA","3-3 3.50 ERA","2-1 5.26 ERA",,"4-0 1.42 ERA"
oppBat,,".242 0.5 HR 7.0 K",".223 1.3 HR 8.5 K",".223 1.3 HR 8.5 K",".223 1.3 HR 8.5 K",,".252 0.9 HR 8.6 K"
oppPitch,,"K. Gausman R","T. Sugano R","C. Povich L","K. Gibson R",,"R. Pepiot R"
NYY,---,"C. Schmidt (R)",---,---,---,---,---
game,,"Sun 5:05pm vs TOR",,,,,
stats,,"0-1 7.45 ERA",,,,,
oppBat,,".242 0.5 HR 7.0 K",,,,,
oppPitch,,"C. Bassitt R",,,,,

