Game Date,Team,Pitcher Name,Throws,Record,ERA,Opp Batt Avg,Opp Pitcher
2025-05-02,MIN,J. Ryan,R,1-2,4.00,.244 1.0 HR 9.5 K,W. Buehler R
2025-04-26,NYM,C. Holmes,R,2-1,3.16,.238 1.0 HR 7.3 K,B. Lord R
2025-04-27,NYM,T. Megill,R,3-2,1.09,.238 1.0 HR 7.3 K,M. Parker L
2025-04-28,NYM,G. Canning,R,3-1,3.12,.238 1.0 HR 7.3 K,T. Williams R
2025-04-29,NYM,D. Peterson,L,1-1,3.29,.245 1.3 HR 7.4 K,E. Rodriguez L
2025-04-30,NYM,K. Senga,R,3-1,1.26,.245 1.3 HR 7.4 K,C. Burnes R
2025-05-01,NYM,C. Holmes,R,2-1,3.16,.245 1.3 HR 7.4 K,Z. Gallen R
2025-05-02,NYM,T. Megill,R,3-2,1.09,.265 0.9 HR 7.9 K,S. Gray R
2025-04-27,NYY,M. Fried,L,4-0,1.42,.242 0.5 HR 7.0 K,K. Gausman R
2025-04-28,NYY,W. Warren,R,1-0,4.79,.223 1.3 HR 8.5 K,T. Sugano R
2025-04-29,NYY,C. Rodon,L,3-3,3.50,.223 1.3 HR 8.5 K,C. Povich L
2025-04-30,NYY,C. Carrasco,R,2-1,5.26,.223 1.3 HR 8.5 K,K. Gibson R
2025-05-02,NYY,M. Fried,L,4-0,1.42,.252 0.9 HR 8.6 K,R. Pepiot R
2025-04-27,NYY,C. Schmidt,R,0-1,7.45,.242 0.5 HR 7.0 K,C. Bassitt R
2025-04-26,PHI,J. Luzardo,L,2-0,2.08,.267 1.4 HR 8.4 K,B. Brown R
2025-04-27,PHI,A. Nola,R,0-5,6.43,.267 1.4 HR 8.4 K,J. Taillon R
2025-04-29,PHI,Z. Wheeler,R,2-1,3.62,.238 1.0 HR 7.3 K,M. Gore L
2025-04-30,PHI,C. Sanchez,L,2-1,3.42,.238 1.0 HR 7.3 K,J. Irvin R
2025-05-01,PHI,T. Walker,R,1-2,2.78,.238 1.0 HR 7.3 K,B. Lord R
2025-05-02,PHI,J. Luzardo,L,2-0,2.08,.245 1.3 HR 7.4 K,M. Kelly R
2025-04-26,PIT,M. Keller,R,1-2,4.18,.230 1.6 HR 8.5 K,R. Sasaki R
2025-04-27,PIT,B. Falter,L,1-2,5.19,.230 1.6 HR 8.5 K,T. Glasnow R
2025-04-29,PIT,A. Heaney,L,2-1,1.72,.267 1.4 HR 8.4 K,S. Imanaga L
2025-04-30,PIT,C. Mlodzinski,R,1-3,6.95,.267 1.4 HR 8.4 K,M. Boyd L
2025-05-01,PIT,P. Skenes,R,3-2,2.39,.267 1.4 HR 8.4 K,C. Rea R
2025-05-02,PIT,M. Keller,R,1-2,4.18,.260 0.9 HR 6.8 K,D. Cease R
2025-04-26,SD,D. Cease,R,1-1,6.04,.252 0.9 HR 8.6 K,R. Pepiot R
2025-04-27,SD,R. Vasquez,R,1-2,3.97,.252 0.9 HR 8.6 K,Z. Littell R
2025-04-29,SD,N. Pivetta,R,4-1,1.20,.227 1.0 HR 8.9 K,L. Webb R
2025-04-30,SD,M. King,R,3-1,2.18,.227 1.0 HR 8.9 K,L. Roupp R
2025-05-02,SD,D. Cease,R,1-1,6.04,.222 0.7 HR 8.8 K,M. Keller R
2025-04-26,SEA,L. Castillo,R,2-2,4.44,.260 0.8 HR 9.2 K,C. Gillispie R
2025-04-27,SEA,B. Miller,R,1-3,4.21,.260 0.8 HR 9.2 K,M. Meyer R
2025-04-29,SEA,E. Hancock,R,1-1,7.71,.217 1.5 HR 9.5 K,J. Kochanowicz R
2025-04-30,SEA,B. Woo,R,3-1,3.09,.217 1.5 HR 9.5 K,T. Anderson L
2025-05-02,SEA,L. Gilbert,R,1-1,2.37,.222 1.2 HR 7.8 K,J. Leiter R
2025-04-26,SF,R. Ray,L,3-0,4.07,.222 1.2 HR 7.8 K,T. Mahle R
2025-04-27,SF,J. Hicks,R,1-3,6.59,.222 1.2 HR 7.8 K,J. Leiter R
2025-04-29,SF,L. Webb,R,3-1,1.98,.260 0.9 HR 6.8 K,N. Pivetta R
2025-04-30,SF,L. Roupp,R,2-1,4.56,.260 0.9 HR 6.8 K,M. King R
2025-05-01,SF,J. Verlander,R,0-2,4.99,.216 0.8 HR 10.6 K,K. Freeland L
2025-05-02,SF,R. Ray,L,3-0,4.07,.216 0.8 HR 10.6 K,A. Senzatela R
2025-04-26,STL,S. Gray,R,3-0,3.41,.246 0.9 HR 7.9 K,Q. Priester R
2025-04-27,STL,E. Fedde,R,1-2,3.33,.246 0.9 HR 7.9 K,J. Quintana L
2025-04-28,STL,A. Pallante,R,2-1,4.05,.245 1.1 HR 8.8 K,N. Martinez R
2025-04-29,STL,M. Mikolas,R,0-2,5.70,.245 1.1 HR 8.8 K,B. Singer R
2025-04-30,STL,S. Matz,L,2-0,1.86,.245 1.1 HR 8.8 K,A. Abbott L
2025-05-01,STL,M. Liberatore,L,2-2,3.19,.245 1.1 HR 8.8 K,H. Greene R
2025-05-02,STL,S. Gray,R,3-0,3.41,.234 0.9 HR 7.5 K,T. Megill R
2025-04-26,TB,R. Pepiot,R,1-3,4.82,.260 0.9 HR 6.8 K,D. Cease R
2025-04-27,TB,Z. Littell,R,0-5,5.28,.260 0.9 HR 6.8 K,R. Vasquez R
2025-04-29,TB,T. Bradley,R,2-1,5.08,.224 0.4 HR 7.4 K,C. Ragans L
2025-04-30,TB,D. Rasmussen,R,1-1,2.10,.224 0.4 HR 7.4 K,M. Lorenzen R
2025-05-01,TB,S. Baz,R,3-0,2.45,.224 0.4 HR 7.4 K,S. Lugo R
2025-05-02,TB,R. Pepiot,R,1-3,4.82,.259 1.6 HR 9.5 K,M. Fried L
2025-04-26,TEX,T. Mahle,R,3-0,0.68,.227 1.0 HR 8.9 K,R. Ray L
2025-04-27,TEX,J. Leiter,R,2-0,0.90,.227 1.0 HR 8.9 K,J. Hicks R
2025-04-28,TEX,P. Corbin,L,2-0,3.77,.256 1.4 HR 7.3 K,J. Sears L
2025-04-29,TEX,J. deGrom,R,0-1,3.33,.256 1.4 HR 7.3 K,H. Harris L
2025-04-30,TEX,N. Eovaldi,R,2-2,2.21,.256 1.4 HR 7.3 K,L. Severino R
2025-05-01,TEX,T. Mahle,R,3-0,0.68,.256 1.4 HR 7.3 K,J. Springs L
2025-05-02,TEX,J. Leiter,R,2-0,0.90,.228 1.4 HR 9.2 K,L. Gilbert R
2025-04-27,TOR,K. Gausman,R,2-2,3.16,.259 1.6 HR 9.5 K,M. Fried L
2025-04-29,TOR,B. Francis,R,2-3,3.58,.244 1.0 HR 9.5 K,G. Crochet L
2025-04-30,TOR,J. Berrios,R,1-1,4.24,.244 1.0 HR 9.5 K,L. Giolito R
2025-05-01,TOR,P. Schultz,R,0-0,0.00,.244 1.0 HR 9.5 K,T. Houck R
2025-05-02,TOR,K. Gausman,R,2-2,3.16,.235 1.2 HR 7.8 K,L. Allen L
2025-04-27,TOR,C. Bassitt,R,2-1,1.88,.259 1.6 HR 9.5 K,C. Schmidt R
2025-04-26,WSH,B. Lord,R,0-2,4.73,.234 0.9 HR 7.5 K,C. Holmes R
2025-04-27,WSH,M. Parker,L,3-1,1.39,.234 0.9 HR 7.5 K,T. Megill R
2025-04-28,WSH,T. Williams,R,1-2,5.11,.234 0.9 HR 7.5 K,G. Canning R
2025-04-29,WSH,M. Gore,L,2-3,3.34,.248 0.8 HR 8.4 K,Z. Wheeler R
2025-04-30,WSH,J. Irvin,R,2-0,3.19,.248 0.8 HR 8.4 K,C. Sanchez L
2025-05-01,WSH,B. Lord,R,0-2,4.73,.248 0.8 HR 8.4 K,T. Walker R
2025-05-02,WSH,M. Soroka,R,0-1,7.20,.245 1.1 HR 8.8 K,N. Lodolo L
